,gh,Latitude,Longitude
253,3559,30.50401605022713,-90.66540599957673
254,3567,34.36436554605425,-92.79703888088991
255,3574,30.066555,-90.70189
256,3580,33.131953,-91.977618
257,3584,30.350231,-88.577822
258,3586,33.37689769166511,-86.9753904287158
259,3587,30.473456223794,-84.34904872967039
260,3595,31.5054143,-87.8797767
261,3599,35.80738042879781,-90.5756560119794
262,3613,29.0139927,-81.3491479
263,3614,35.76735978724519,-91.64095350938624
264,3616,25.455387,-80.420089
265,3622,36.29581839110121,-90.99664667595468
266,3625,30.14389075,-85.62162984961515
267,3627,34.34025949866641,-86.51979115819394
268,3628,36.04588915,-94.13831327597401
269,3631,34.61310924014727,-89.99021549482397
270,3633,31.09897248321726,-87.07344533534855
271,3634,30.242005,-93.208319
272,3636,31.87719748977344,-85.15645925367724
273,3640,34.677215,-88.550238
274,3644,33.196497,-86.780257
275,3647,34.51543205203144,-93.07237748293211
276,3652,30.93885895115747,-90.5251431531378
277,3665,34.26188691563835,-89.01089364960337
278,3666,33.55942004380724,-86.7996664661517
279,3669,33.81763122145249,-87.23340101808121
280,3672,35.465923,-93.474017
281,3673,34.23095270481295,-86.18408724030368
282,3677,28.29378758150319,-81.37543843794367
283,3690,31.580079,-84.133826
284,3702,33.38262451041667,-84.81396392708334
285,3705,32.28492714235474,-84.0567877841448
286,3708,33.40772558245123,-82.64444258222606
287,3716,33.22642,-84.307679
288,3730,33.81314364555477,-83.6793985081215
289,3731,33.336577,-79.34799213131313
290,3738,33.19285256604397,-79.9960481564375
291,3741,31.78131014285714,-84.446602
292,3743,34.16698022566638,-82.39752803958447
293,3746,34.22216848481848,-80.23437431767638
294,3754,35.0166015,-81.90343662626015
295,3763,33.10288065,-81.20223480827828
296,3765,32.69253300739347,-83.6710106322004
297,3778,31.16125815121504,-81.47841281274383
298,3785,35.01600300465561,-81.24879535628942
299,3796,30.83707467550154,-83.25169113109528
300,3801,34.28017271138986,-83.10840253296992
301,3806,33.46414891349622,-80.88446142956215
302,3820,34.809236,-82.429117
303,3846,34.53277609976715,-84.00125000164445
304,3849,34.51621383673469,-82.47858963265307
305,3869,35.157522,-82.17517738381738
306,3872,32.4858747154253,-80.98451021470737
307,3897,33.39468705842243,-81.99223483100643
308,3898,31.98969810658825,-83.79583616194367
309,3902,33.769746,-81.908291
310,3905,31.54708382035633,-82.5115365635111
311,3910,34.22812691393663,-80.66645310357391
312,3919,31.69945589858367,-83.24606702543161
313,3924,33.6249664394472,-83.83093935340038
314,3928,34.192073,-82.164151
315,3932,32.89977788832973,-84.32015539745541
316,3933,34.27594397797814,-83.8560426765757
317,3941,34.77390546370092,-82.72600973261258
318,3943,34.18142445578479,-84.81086077154082
319,3948,32.50524655,-84.85609435
320,3950,34.162285,-81.343912
321,3953,34.88542252454587,-85.50138579728755
322,3983,36.56047926722709,-82.17263966423776
323,3984,34.55885505086025,-77.90203621751814
324,3986,36.53482732901997,-82.54678484063311
325,3994,35.18110162024212,-87.04809102936838
326,3998,35.47772155,-82.57554774856735
327,4014,36.49986677217253,-84.52432514504403
328,4023,35.0212441960372,-78.33445361138378
329,4037,35.05458791878819,-85.63374714733371
330,4045,35.02759165000001,-80.62210092205805
331,4050,35.831364,-78.305761
332,4054,36.025481,-77.762091
333,4055,35.6170154,-80.806706
334,4057,35.66630288770528,-88.38431607504528
335,4066,36.3769226425219,-86.42459424655571
336,4071,35.293295,-81.60439389727533
337,4080,34.75550446093253,-79.36981450428867
338,4088,35.72145891321245,-81.32496956531587
339,4089,35.821534,-77.250775
340,4096,35.75536301434453,-78.6492276581995
341,4109,35.82776136508377,-83.94206700952513
342,4111,34.94393071408611,-80.052501244323
343,4115,35.5627669306804,-77.08098096096603
344,4120,35.9115476589404,-77.5876705794702
345,4140,35.70865763087818,-81.79577920373073
346,4149,36.13528808676238,-80.6480011099656
347,4162,36.18681846952182,-82.83986811761811
348,4174,36.19758147394799,-85.93877453036748
349,4179,35.26759557951564,-87.32922984231783
350,4191,35.6504637,-77.3601793391469
351,4208,35.24330699433204,-80.45770578518038
352,4220,36.13271,-82.411946
353,4226,36.23517748857225,-86.27740134690404
354,4232,36.59571732210271,-87.27589992699293
355,4243,35.342185,-80.16676
356,4245,35.13595843472104,-77.10954083976365
357,4251,34.75757241021539,-77.38907331019107
358,4255,35.98267340930694,-85.02269981887588
359,4275,36.00371038297872,-80.37222736170213
360,4294,35.64708900955985,-87.0672728192934
361,4300,35.92250738387644,-80.033451421167
362,4301,35.07512078710374,-85.12636219476433
363,4310,27.6497,-81.8277
364,4311,27.4165,-81.5664
365,4314,27.0227,-81.3627
366,4320,30.1486838045547,-83.6138822819024
367,4322,27.6989753874664,-80.8989104292546
368,4323,30.8601785416412,-82.0157525396325
369,4325,36.1858366580914,-93.029365465797
370,4326,35.8272506046731,-92.5612607833015
371,4327,35.310617464569,-91.5641171095427
372,4328,34.1728836775952,-90.5536396221201
373,4329,31.9287624464251,-92.652935873964
374,4330,32.4582250077512,-91.500286956908
375,4331,31.1028551629576,-91.2929558111459
376,4332,31.5356396965717,-90.4833022269612
377,4333,30.7499496349996,-85.3827324052644
378,4334,31.6689155985401,-82.0484863930006
379,4335,36.3791164499103,-81.4849525060558
380,4337,34.0507705332757,-94.3279710262103
