,Property Address,Property Name,PropertyType,Star Rating,Energy Star,LEED Certified,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Leasing Company Name,Leasing Company Contact,Submarket Cluster,City,State,Zip,County Name,Sale Company Name,Sale Company Contact,For Sale Price,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Latitude,Longitude,Company Name,Regional or National,marker-color
352,1175 W Lake Hazel Rd,,Industrial,2.0,,,C,Existing,20075.0,,$12.22 - 12.97 (Est.),Truck Terminal,"Boise, ID",Airport,,,Airport,Boise,ID,83705,Ada,,,,N,,,100.0,2010.0,,20075.0,5.98,Single,02/19/2003,16001C0287H,16001C,0287H,No,100-year and 500-year Floodplain,43.5456265,-116.1947658,Old Dominion Freight Line,National,black
353,237 Lambert St,,Industrial,1.0,,,C,Existing,4938.0,,$9.43 - 11.53 (Est.),Truck Terminal,"Ventura, CA",Oxnard/Pt Hueneme,,,Ventura County,Oxnard,CA,93036,Ventura,,,,N,2010-10-20 00:00:00,1750000.0,100.0,1993.0,,4582.0,8.73,Single,01/20/2010,06111C0770E,06111C,0770E,No,100-year and 500-year Floodplain,34.2527743,-119.1599648,Old Dominion Freight Line,National,black
354,401 W Layton Ave,Building 2,Industrial,2.0,,,C,Existing,28500.0,,$5.71 - 6.98 (Est.),Truck Terminal,"Milwaukee, WI",Milwaukee SE,,,Milwaukee County,Milwaukee,WI,53207,Milwaukee,,,,N,,,100.0,1956.0,,28500.0,,Single,09/26/2008,55079C0158E,55079C,0158E,No,100-year and 500-year Floodplain,42.958416,-87.915957,Old Dominion Freight Line,National,black
355,517 W Layton Ave,,Industrial,2.0,,,B,Existing,27075.0,,$5.75 - 7.03 (Est.),Truck Terminal,"Milwaukee, WI",Milwaukee SE,CF Associates Real Estate,,Milwaukee County,Milwaukee,WI,53207,Milwaukee,,,,N,,,100.0,1956.0,,27075.0,,Single,09/26/2008,55079C0158E,55079C,0158E,No,100-year and 500-year Floodplain,42.958519,-87.917258,Old Dominion Freight Line,National,black
356,631 Leonard Rd,,Industrial,2.0,,,C,Existing,21090.0,,$9.11 - 11.02 (Est.),Truck Terminal,"Spartanburg, SC",Rt 101 Corridor,,,Spartanburg,Duncan,SC,29334,Spartanburg,,,,N,,,100.0,2005.0,,21090.0,2.37,Single,01/06/2011,45083C0219D,45083C,0219D,No,100-year and 500-year Floodplain,34.889225,-82.152908,Old Dominion Freight Line,National,black
357,1400 Louis Coleman Jr Dr,,Industrial,2.0,,,B,Existing,42157.0,,$6.21 - 6.33 (Est.),Truck Terminal,"Louisville, KY",Old Louisville,,,Old Louisville,Louisville,KY,40211,Jefferson,,,,N,,,100.0,1990.0,2021.0,19711.0,2.54,Single,02/26/2021,21111C0040F,21111C,0040F,No,100-year and 500-year Floodplain,38.2345471,-85.8119575,Old Dominion Freight Line,National,black
358,3515 W Magnolia Ave,Freedom Express Trucking,Industrial,2.0,,,B,Existing,14661.0,,$7.13 - 8.43 (Est.),Truck Terminal,"Louisville, KY",Old Louisville,CBRE,Kevin Grove,Old Louisville,Louisville,KY,40211,Jefferson,,,,N,2015-12-30 00:00:00,570000.0,100.0,1963.0,2012.0,14661.0,2.39,,02/26/2021,21111C0040F,21111C,0040F,No,100-year and 500-year Floodplain,38.234527,-85.814071,Old Dominion Freight Line,National,black
359,4960 Martin St,,Industrial,3.0,,,B,Existing,44872.0,,$7.71 - 9.08 (Est.),Truck Terminal,"Dallas-Fort Worth, TX",East Ft Worth,,,South Ft Worth,Fort Worth,TX,76119,Tarrant,,,,N,,,100.0,2006.0,,44872.0,,Single,09/25/2009,48439C0330K,48439C,0330K,No,100-year and 500-year Floodplain,32.6875634,-97.2485971,Old Dominion Freight Line,National,black
360,2720 Mary Linda Ave NE,Old Dominion Freight Line,Industrial,1.0,,,C,Existing,7196.0,,$6.52 - 7.97 (Est.),Truck Terminal,"Roanoke, VA",Northeast Roanoke,,,Northeast Roanoke,Roanoke,VA,24012,Roanoke City,,,,N,2009-09-03 00:00:00,900000.0,100.0,1987.0,,7196.0,,Single,09/28/2007,51161C0166G,51161C,0166G,No,100-year and 500-year Floodplain,37.300171,-79.9081515,Old Dominion Freight Line,National,black
361,280 Mcghee Rd,,Industrial,2.0,,,C,Existing,9600.0,,$8.98 - 9.49 (Est.),Truck Terminal,"Winchester, VA",Frederick County VA,,,Frederick County VA,Winchester,VA,22603,Frederick,,,,N,2013-07-03 00:00:00,950000.0,100.0,1989.0,,9600.0,1.52,Single,01/29/2021,51069C0210E,51069C,0210E,No,100-year and 500-year Floodplain,39.2224273,-78.1468839,Old Dominion Freight Line,National,black
